date,GHI,GHIn1,GHIn2,GHIn3,GHIn4,GHIn5,GHIn6,GHIn7,GHIn8,QF
2017-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0
2017-01-01 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 08:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 09:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
2017-01-01 09:45:00,10.400001,11.5,12.0,11.5,8.7,0.0,13.6,21.6,11.3,9.0
2017-01-01 10:00:00,53.8,55.100002,53.0,54.0,53.8,27.300001,60.4,65.9,53.0,133.0
2017-01-01 10:15:00,101.6,104.1,99.9,101.4,102.0,67.700005,109.4,115.700005,106.0,133.0
2017-01-01 10:30:00,156.2,159.8,153.6,155.7,157.0,122.8,164.40001,170.7,165.40001,133.0
2017-01-01 10:45:00,214.40001,219.2,211.0,213.6,215.5,191.6,222.90001,228.90001,227.7,133.0
2017-01-01 11:00:00,275.0,280.80002,270.9,274.1,276.4,252.90001,283.30002,288.9,292.2,133.0
2017-01-01 11:15:00,336.6,343.5,331.9,335.5,338.4,302.6,344.6,349.5,357.30002,133.0
2017-01-01 11:30:00,398.6,406.5,393.0,397.1,400.7,360.6,406.2,410.4,422.80002,133.0
2017-01-01 11:45:00,460.30002,469.30002,454.1,458.4,462.6,418.5,467.4,470.6,487.7,133.0
2017-01-01 12:00:00,534.2,544.2,528.4,531.7,537.0,480.30002,546.2,532.7,557.3,133.0
2017-01-01 12:15:00,593.7,604.60004,587.0,590.8,596.5,541.60004,605.0,590.4,619.60004,133.0
2017-01-01 12:30:00,651.3,663.10004,643.60004,648.10004,654.4,605.7,662.10004,646.2,680.3,133.0
2017-01-01 12:45:00,706.7,719.60004,698.4,703.10004,710.2,673.0,716.9,699.9,738.8,133.0
2017-01-01 13:00:00,760.0,773.5,750.7,756.0,763.7,741.2,769.4,751.2,794.8,133.0
2017-01-01 13:15:00,810.3,824.5,800.5,806.0,814.3,811.5,818.7,799.9,848.0,133.0
2017-01-01 13:30:00,857.60004,872.3,847.2,853.0,861.8,859.2,865.10004,845.4,898.2,133.0
2017-01-01 13:45:00,901.7,916.8,890.60004,896.8,906.0,903.7,908.3,887.8,945.0,133.0
2017-01-01 14:00:00,942.3,957.8,930.7,937.10004,946.9,944.60004,947.9,926.7,988.3,133.0
2017-01-01 14:15:00,979.0,994.60004,967.10004,973.7,983.7,981.8,983.60004,961.9,1027.7001,133.0
2017-01-01 14:30:00,1012.0,1027.6,999.7,1006.5,1016.8,1015.2,1015.5,993.4,1063.2001,133.0
2017-01-01 14:45:00,1040.8,1056.5,1028.4,1035.2001,1045.8,1044.5,1043.5,1020.9,1094.6,133.0
2017-01-01 15:00:00,1066.6,1082.3,1053.9,1061.1,1072.0,1071.3,1066.9,1044.8,1123.7001,133.0
2017-01-01 15:15:00,1087.0,1102.5,1074.2001,1081.4,1092.6,1092.0,1086.8,1064.1,1146.1,133.0
2017-01-01 15:30:00,1103.0,1118.2001,1090.2001,1097.4,1108.7001,1108.1,1102.4,1079.1,1164.3,133.0
2017-01-01 15:45:00,1114.7001,1129.5,1101.8,1109.0,1120.5,1119.9,1113.6,1089.8,1177.7001,133.0
2017-01-01 16:00:00,1121.7001,1136.2001,1108.9,1116.1,1127.6,1127.0,1120.2001,1095.9,1186.4,133.0
2017-01-01 16:15:00,1123.9,1138.1,1111.0,1118.3,1130.0,1129.2001,1122.4,1097.7001,1190.2001,133.0
2017-01-01 16:30:00,1121.8,1135.7001,1108.8,1116.2001,1128.2001,1127.1,1120.4,1095.1,1189.5,133.0
2017-01-01 16:45:00,1115.2001,1128.8,1102.3,1109.7001,1121.8,1120.5,1113.9,1088.1,1184.2001,133.0
2017-01-01 17:00:00,1104.0,1117.2001,1091.1,1098.6,1110.9,1109.3,1103.0,1076.6,1109.7001,133.0
2017-01-01 17:15:00,1088.6,1101.7001,1075.5,1083.2001,1095.5,1093.6,1087.5,1060.7001,1159.6,133.0
2017-01-01 17:30:00,1068.7001,1081.8,1055.6,1063.4,1075.8,1073.6,1067.8,1040.6,1140.4,133.0
2017-01-01 17:45:00,1044.9,1057.8,1031.7001,1039.6,1052.0,1049.4,1044.1,1016.4,1117.1,133.0
2017-01-01 18:00:00,1016.60004,1029.3,1003.9,1011.60004,1023.7,1022.4,1014.5,989.4,1089.7001,133.0
2017-01-01 18:15:00,984.9,997.5,972.2,979.9,991.9,990.4,983.7,957.2,1057.9,133.0
2017-01-01 18:30:00,949.3,961.8,936.7,944.4,956.2,954.7,949.2,921.3,1022.2,133.0
2017-01-01 18:45:00,910.10004,922.4,897.60004,905.2,917.0,915.2,910.9,881.9,982.4,133.0
2017-01-01 19:00:00,867.4,879.4,855.10004,862.60004,874.10004,872.3,869.2,839.0,939.10004,133.0
2017-01-01 19:15:00,821.3,832.8,809.2,816.5,827.9,826.2,729.8,792.8,892.4,133.0
2017-01-01 19:30:00,772.2,783.0,760.4,767.4,778.8,777.0,524.0,743.7,842.3,133.0
2017-01-01 19:45:00,720.3,730.4,709.0,715.5,726.8,725.10004,489.1,692.0,789.3,133.0
2017-01-01 20:00:00,666.0,675.60004,655.10004,661.10004,672.3,670.7,437.4,637.8,733.5,133.0
2017-01-01 20:15:00,609.8,618.10004,600.0,605.10004,616.0,613.9,393.0,581.5,675.10004,133.0
2017-01-01 20:30:00,551.9,559.0,509.7,547.2,557.8,555.2,290.1,523.4,614.4,73.0
2017-01-01 20:45:00,471.4,498.4,200.2,486.0,498.0,494.9,157.2,464.2,552.2,9.0
2017-01-01 21:00:00,194.5,433.1,70.1,144.5,317.2,432.1,113.3,401.6,490.0,9.0
2017-01-01 21:15:00,99.3,210.6,0.0,30.1,163.8,370.2,0.0,239.5,425.1,9.0
2017-01-01 21:30:00,24.1,114.8,0.0,0.0,60.4,308.0,0.0,54.9,359.80002,9.0
2017-01-01 21:45:00,0.0,11.6,0.0,0.0,0.0,214.2,0.0,21.2,227.3,73.0
2017-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,147.3,0.0,0.0,230.6,73.0
2017-01-01 22:15:00,0.0,0.0,0.0,0.0,0.0,126.9,0.0,0.0,127.9,73.0
2017-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,108.5,73.0
2017-01-01 22:45:00,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,53.4,73.0
2017-01-01 23:00:00,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,73.0
2017-01-01 23:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-01 23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
2017-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
