date,swgnt,swfdn
2020-01-01 00:30:00,0.0,0.0
2020-01-01 01:30:00,0.0,0.0
2020-01-01 02:30:00,0.0,0.0
2020-01-01 03:30:00,0.0,0.0
2020-01-01 04:30:00,0.0,0.0
2020-01-01 05:30:00,0.0,0.0
2020-01-01 06:30:00,0.0,0.0
2020-01-01 07:30:00,0.0,0.0
2020-01-01 08:30:00,0.0,0.0
2020-01-01 09:30:00,2.7441406,3.4658203
2020-01-01 10:30:00,98.09375,122.6875
2020-01-01 11:30:00,303.375,372.0
2020-01-01 12:30:00,519.25,628.5
2020-01-01 13:30:00,720.75,866.0
2020-01-01 14:30:00,845.5,1011.5
2020-01-01 15:30:00,895.25,1069.0
2020-01-01 16:30:00,935.0,1115.0
2020-01-01 17:30:00,886.5,1058.0
2020-01-01 18:30:00,782.25,935.75
2020-01-01 19:30:00,625.25,751.75
2020-01-01 20:30:00,416.375,504.75
2020-01-01 21:30:00,214.375,263.75
2020-01-01 22:30:00,56.671875,71.9375
2020-01-01 23:30:00,0.021278381,0.02721405
2020-01-02 00:30:00,0.0,0.0
2020-01-02 01:30:00,0.0,0.0
2020-01-02 02:30:00,0.0,0.0
2020-01-02 03:30:00,0.0,0.0
2020-01-02 04:30:00,0.0,0.0
2020-01-02 05:30:00,0.0,0.0
2020-01-02 06:30:00,0.0,0.0
2020-01-02 07:30:00,0.0,0.0
2020-01-02 08:30:00,0.0,0.0
2020-01-02 09:30:00,2.5517578,3.2822266
2020-01-02 10:30:00,90.5,113.46875
2020-01-02 11:30:00,283.625,347.875
2020-01-02 12:30:00,406.125,492.375
2020-01-02 13:30:00,625.75,752.25
2020-01-02 14:30:00,786.0,940.75
2020-01-02 15:30:00,872.25,1041.5
2020-01-02 16:30:00,881.0,1051.0
2020-01-02 17:30:00,796.5,951.25
2020-01-02 18:30:00,668.5,800.5
2020-01-02 19:30:00,503.25,605.25
2020-01-02 20:30:00,344.25,417.625
2020-01-02 21:30:00,179.0625,220.8125
2020-01-02 22:30:00,32.0625,40.265625
2020-01-02 23:30:00,0.009338379,0.011711121
2020-01-03 00:30:00,0.0,0.0
2020-01-03 01:30:00,0.0,0.0
2020-01-03 02:30:00,0.0,0.0
2020-01-03 03:30:00,0.0,0.0
2020-01-03 04:30:00,0.0,0.0
2020-01-03 05:30:00,0.0,0.0
2020-01-03 06:30:00,0.0,0.0
2020-01-03 07:30:00,0.0,0.0
2020-01-03 08:30:00,0.0,0.0
2020-01-03 09:30:00,1.7890625,2.2949219
2020-01-03 10:30:00,62.65625,78.8125
2020-01-03 11:30:00,195.25,239.5625
2020-01-03 12:30:00,333.0,403.375
2020-01-03 13:30:00,594.75,715.25
2020-01-03 14:30:00,738.5,884.25
2020-01-03 15:30:00,835.75,999.0
2020-01-03 16:30:00,785.5,940.75
2020-01-03 17:30:00,674.5,810.5
2020-01-03 18:30:00,519.0,625.25
2020-01-03 19:30:00,352.125,424.625
2020-01-03 20:30:00,219.6875,265.375
2020-01-03 21:30:00,94.875,114.6875
2020-01-03 22:30:00,24.796875,30.109375
2020-01-03 23:30:00,0.011600494,0.01455307
2020-01-04 00:30:00,0.0,0.0
2020-01-04 01:30:00,0.0,0.0
2020-01-04 02:30:00,0.0,0.0
2020-01-04 03:30:00,0.0,0.0
2020-01-04 04:30:00,0.0,0.0
2020-01-04 05:30:00,0.0,0.0
2020-01-04 06:30:00,0.0,0.0
2020-01-04 07:30:00,0.0,0.0
2020-01-04 08:30:00,0.0,0.0
2020-01-04 09:30:00,2.8828125,3.725586
2020-01-04 10:30:00,99.6875,125.90625
2020-01-04 11:30:00,284.75,350.5
2020-01-04 12:30:00,488.75,594.75
2020-01-04 13:30:00,644.25,777.5
2020-01-04 14:30:00,791.25,949.75
2020-01-04 15:30:00,864.5,1034.5
2020-01-04 16:30:00,863.25,1031.5
2020-01-04 17:30:00,767.0,917.75
2020-01-04 18:30:00,631.25,758.0
2020-01-04 19:30:00,463.75,560.0
2020-01-04 20:30:00,284.0,345.5
2020-01-04 21:30:00,128.0625,157.3125
2020-01-04 22:30:00,24.179688,29.890625
2020-01-04 23:30:00,0.00938797,0.011795044
2020-01-05 00:30:00,0.0,0.0
2020-01-05 01:30:00,0.0,0.0
2020-01-05 02:30:00,0.0,0.0
2020-01-05 03:30:00,0.0,0.0
2020-01-05 04:30:00,0.0,0.0
2020-01-05 05:30:00,0.0,0.0
2020-01-05 06:30:00,0.0,0.0
2020-01-05 07:30:00,0.0,0.0
2020-01-05 08:30:00,0.0,0.0
2020-01-05 09:30:00,2.6572266,3.4335938
2020-01-05 10:30:00,104.8125,132.875
2020-01-05 11:30:00,312.0,384.625
2020-01-05 12:30:00,518.75,629.25
2020-01-05 13:30:00,700.5,842.25
2020-01-05 14:30:00,826.5,989.75
2020-01-05 15:30:00,896.75,1070.5
2020-01-05 16:30:00,878.0,1047.5
2020-01-05 17:30:00,819.5,979.25
2020-01-05 18:30:00,693.25,831.25
2020-01-05 19:30:00,539.5,650.25
2020-01-05 20:30:00,347.875,422.75
2020-01-05 21:30:00,175.75,216.625
2020-01-05 22:30:00,47.171875,59.71875
2020-01-05 23:30:00,0.011947632,0.015144348
2020-01-06 00:30:00,0.0,0.0
2020-01-06 01:30:00,0.0,0.0
2020-01-06 02:30:00,0.0,0.0
2020-01-06 03:30:00,0.0,0.0
2020-01-06 04:30:00,0.0,0.0
2020-01-06 05:30:00,0.0,0.0
2020-01-06 06:30:00,0.0,0.0
2020-01-06 07:30:00,0.0,0.0
2020-01-06 08:30:00,0.0,0.0
2020-01-06 09:30:00,3.3935547,4.5898438
2020-01-06 10:30:00,125.8125,161.125
2020-01-06 11:30:00,348.375,430.5
2020-01-06 12:30:00,567.0,688.5
2020-01-06 13:30:00,755.75,909.5
2020-01-06 14:30:00,900.5,1078.0
2020-01-06 15:30:00,987.25,1179.0
2020-01-06 16:30:00,1009.0,1204.0
2020-01-06 17:30:00,962.75,1150.0
2020-01-06 18:30:00,840.75,1007.0
2020-01-06 19:30:00,660.0,795.0
2020-01-06 20:30:00,477.25,580.25
2020-01-06 21:30:00,266.5,330.625
2020-01-06 22:30:00,71.34375,92.28125
2020-01-06 23:30:00,0.01750946,0.022453308
2020-01-07 00:30:00,0.0,0.0
2020-01-07 01:30:00,0.0,0.0
2020-01-07 02:30:00,0.0,0.0
2020-01-07 03:30:00,0.0,0.0
2020-01-07 04:30:00,0.0,0.0
2020-01-07 05:30:00,0.0,0.0
2020-01-07 06:30:00,0.0,0.0
2020-01-07 07:30:00,0.0,0.0
2020-01-07 08:30:00,0.0,0.0
2020-01-07 09:30:00,2.7890625,3.6865234
2020-01-07 10:30:00,101.6875,128.6875
2020-01-07 11:30:00,315.5,388.375
2020-01-07 12:30:00,552.75,670.5
2020-01-07 13:30:00,741.5,891.5
2020-01-07 14:30:00,884.0,1058.0
2020-01-07 15:30:00,980.0,1170.0
2020-01-07 16:30:00,1014.0,1210.0
