date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage
2017-01-20 10:45:00,68.23866666666666,-20.300057321192305,4.148272103878152,76.74376602164457,279.204,161.988,134.874,260.4077,25.9122,0.0061,0.0004,0.0008,0.0499,0.0078,22
2017-01-20 11:00:00,250.0373333333333,-20.300057321192305,3.33889805109305,73.44012090106428,357.96000000000004,222.99,177.75,260.5061,25.8295,0.0061,0.0004,0.0008,0.0497,0.0078,81
2017-01-20 11:15:00,311.18,-20.300057321192305,2.7989324121295462,70.11690546485477,436.008,285.588,231.23399999999998,260.6045,25.7468,0.0061,0.0004,0.0008,0.0495,0.0078,100
2017-01-20 11:30:00,372.3366666666667,-20.300057321192305,2.414560665926144,66.77611803699362,513.024,348.84000000000003,334.728,260.703,25.6641,0.0061,0.0004,0.0008,0.0492,0.0078,0
2017-01-20 11:45:00,434.4906666666666,-20.300057321192305,2.1281971913827964,63.41956568404849,588.6659999999999,412.038,412.038,260.8014,25.5814,0.0061,0.0004,0.0008,0.049,0.0077,0
2017-01-20 12:00:00,496.19,-20.300057321192305,1.9075880204899958,60.048893690662226,662.61,474.624,422.75399999999996,260.8954,25.4946,0.0061,0.0004,0.0008,0.0488,0.0077,13
2017-01-20 12:15:00,556.4593333333333,-20.300057321192305,1.7332700952607731,56.66561247748308,734.55,536.466,468.492,260.8627,25.2897,0.006,0.0004,0.0008,0.0479,0.0076,30
2017-01-20 12:30:00,614.8433333333334,-20.300057321192305,1.5928100163622876,53.27112301800397,804.1740000000001,596.814,580.962,260.8301,25.0847,0.0059,0.0004,0.0008,0.0469,0.0076,0
2017-01-20 12:45:00,672.9966666666667,-20.300057321192305,1.4779000172753538,49.86674200267245,871.176,655.308,655.308,260.7974,24.8798,0.0058,0.0004,0.0008,0.046,0.0075,0
2017-01-20 13:00:00,728.304,-20.300057321192305,1.3827843300564269,46.45372838645234,935.274,711.618,711.618,260.7647,24.6749,0.0057,0.0004,0.0008,0.0451,0.0074,0
2017-01-20 13:15:00,779.6606666666667,-20.300057321192305,1.3033554538386825,43.03331368509724,996.1980000000001,765.4319999999999,765.4319999999999,260.732,24.4699,0.0056,0.0004,0.0007,0.0442,0.0073,0
2017-01-20 13:30:00,827.7086666666667,-20.300057321192305,1.236609790774962,39.60673974055874,1053.684,816.468,816.468,260.6993,24.265,0.0055,0.0004,0.0007,0.0433,0.0072,0
2017-01-20 13:45:00,875.2153333333333,-20.300057321192305,1.1803064328826627,36.17531023990037,1107.48,864.45,864.45,260.6666,24.0601,0.0055,0.0004,0.0007,0.0424,0.0071,0
2017-01-20 14:00:00,917.5706666666666,-20.300057321192305,1.1327459793827863,32.740467298039235,1157.364,909.1260000000001,909.1260000000001,260.6339,23.8552,0.0054,0.0004,0.0007,0.0415,0.007,17
2017-01-20 14:15:00,957.2926666666666,-20.300057321192305,1.0926230145143234,29.30391476055949,1203.12,950.274,950.274,260.6012,23.6502,0.0053,0.0004,0.0007,0.0406,0.0069,83
2017-01-20 14:30:00,993.6646666666668,-20.300057321192305,1.0589253110417944,25.867832534463965,1244.544,987.6780000000001,987.6780000000001,260.5685,23.4453,0.0052,0.0004,0.0007,0.0397,0.0069,81
2017-01-20 14:45:00,1023.8646666666666,-20.300057321192305,1.0308635603565908,22.435279765077347,1281.468,1021.1580000000001,1021.1580000000001,260.5358,23.2404,0.0051,0.0004,0.0007,0.0388,0.0068,20
2017-01-20 15:00:00,1050.344,-20.300057321192305,1.0078215903196825,19.011023558038406,1313.73,1050.546,1050.546,260.5008,23.0398,0.005,0.0004,0.0006,0.0379,0.0067,53
2017-01-20 15:15:00,1075.1546666666666,-20.300057321192305,0.9893206884229122,15.60343580052003,1341.192,1075.2659999999998,1075.2659999999998,260.3973,22.9643,0.005,0.0004,0.0006,0.0377,0.0067,24
2017-01-20 15:30:00,1096.4019999999998,-20.300057321192305,0.9749938859209228,12.22948373804349,1363.74,1095.636,1095.636,260.2938,22.8888,0.005,0.0004,0.0006,0.0374,0.0067,26
2017-01-20 15:45:00,1110.256,-20.300057321192305,0.9645674685571978,8.93062765280945,1381.266,1111.548,1111.548,260.1903,22.8133,0.005,0.0004,0.0006,0.0372,0.0067,30
2017-01-20 16:00:00,1121.096,-20.300057321192305,0.9578478915273713,5.839283136395143,1393.704,1122.924,1122.924,260.0868,22.7378,0.0049,0.0004,0.0006,0.0369,0.0067,42
2017-01-20 16:15:00,1126.0626666666665,-20.300057321192305,0.9547128661099431,3.551222764532389,1401.0,1129.6979999999999,1129.6979999999999,259.9833,22.6623,0.0049,0.0004,0.0006,0.0367,0.0067,27
2017-01-20 16:30:00,1124.938,-20.300057321192305,0.9551058297617453,3.912911871068531,1403.124,1131.828,1131.828,259.8797,22.5868,0.0049,0.0004,0.0006,0.0365,0.0067,25
2017-01-20 16:45:00,1117.5946666666666,-20.300057321192305,0.9590338712991742,6.495744550823317,1400.058,1129.308,1129.308,259.7762,22.5113,0.0049,0.0004,0.0006,0.0362,0.0067,0
2017-01-20 17:00:00,1106.892,-20.300057321192305,0.9665679195102651,9.65642169995641,1391.826,1122.144,1122.144,259.6727,22.4358,0.0049,0.0004,0.0006,0.036,0.0067,0
2017-01-20 17:15:00,1096.5206666666668,-20.300057321192305,0.9778455773756839,12.97826502244255,1378.452,1110.378,1110.378,259.5692,22.3603,0.0049,0.0004,0.0006,0.0358,0.0067,7
2017-01-20 17:30:00,1077.7386666666666,-20.300057321192305,0.9930773814755686,16.36201235860427,1360.002,1094.082,1094.082,259.4657,22.2848,0.0048,0.0004,0.0006,0.0355,0.0067,0
2017-01-20 17:45:00,1057.5806666666665,-20.300057321192305,1.0125565604984959,19.774360129450322,1336.554,1073.334,1073.334,259.3622,22.2093,0.0048,0.0004,0.0006,0.0353,0.0068,0
2017-01-20 18:00:00,1031.1453333333334,-20.300057321192305,1.0366732032118318,23.20102104303975,1308.204,1048.23,1048.23,259.2647,22.1374,0.0048,0.0004,0.0006,0.0351,0.0068,0
2017-01-20 18:15:00,1000.2313333333332,-20.300057321192305,1.0659341765702486,26.63469560679763,1275.0720000000001,1018.5719999999999,1018.5719999999999,259.3414,22.1691,0.0048,0.0004,0.0006,0.0352,0.0068,0
2017-01-20 18:30:00,961.9426666666666,-20.300057321192305,1.1009907878104133,30.071108089238397,1237.3020000000001,984.8340000000001,984.8340000000001,259.4182,22.2009,0.0048,0.0004,0.0006,0.0354,0.0068,0
2017-01-20 18:45:00,919.6413333333334,-20.300057321192305,1.1426771876573987,33.50744661034345,1195.062,947.178,947.178,259.495,22.2326,0.0049,0.0004,0.0006,0.0356,0.0068,0
2017-01-20 19:00:00,873.814,-20.300057321192305,1.192064071143025,36.94166350827644,1148.52,905.784,905.784,259.5717,22.2643,0.0049,0.0004,0.0006,0.0358,0.0068,0
2017-01-20 19:15:00,826.3666666666667,-20.300057321192305,1.250534723432926,40.372127719619535,1097.8860000000002,860.862,860.862,259.6485,22.296,0.0049,0.0004,0.0006,0.0359,0.0069,0
2017-01-20 19:30:00,772.958,-20.300057321192305,1.319894554729424,43.79743659132926,1043.3700000000001,812.64,812.64,259.7252,22.3277,0.0049,0.0004,0.0006,0.0361,0.0069,0
2017-01-20 19:45:00,722.7306666666666,-20.300057321192305,1.4025322204482304,47.216305752891884,985.2120000000001,761.376,761.376,259.802,22.3594,0.005,0.0004,0.0006,0.0363,0.0069,0
2017-01-20 20:00:00,664.4353333333333,-20.300057321192305,1.50166263697392,50.6274995167048,923.6519999999999,707.34,707.34,259.8787,22.3911,0.005,0.0004,0.0006,0.0365,0.0069,0
2017-01-20 20:15:00,601.0486666666667,-20.300057321192305,1.621704519278802,54.02978317654643,858.96,650.8199999999999,650.8199999999999,259.9555,22.4228,0.005,0.0004,0.0006,0.0366,0.007,0
2017-01-20 20:30:00,539.4553333333333,-20.300057321192305,1.768887714723806,57.42188733700746,791.412,592.1220000000001,592.1220000000001,260.0322,22.4546,0.005,0.0004,0.0006,0.0368,0.007,0
2017-01-20 20:45:00,480.2273333333333,-20.300057321192305,1.9522714955475058,60.802478715174374,721.2959999999999,531.57,531.57,260.109,22.4863,0.0051,0.0004,0.0006,0.037,0.007,0
2017-01-20 21:00:00,417.29533333333336,-20.300057321192305,2.185539003425783,64.17013407398552,648.906,469.524,469.524,260.1791,22.5222,0.0051,0.0004,0.0006,0.0372,0.007,0
2017-01-20 21:15:00,351.862,-20.300057321192305,2.49035794723752,67.52331512581307,574.5600000000001,406.152,406.152,260.0565,22.6796,0.0051,0.0004,0.0006,0.0378,0.007,0
2017-01-20 21:30:00,289.7513333333334,-20.300057321192305,2.903173377544896,70.8603428795969,498.57599999999996,342.24,342.24,259.934,22.837,0.0052,0.0004,0.0007,0.0385,0.007,0
2017-01-20 21:45:00,228.842,-20.300057321192305,3.490359643365802,74.17937023950886,421.278,278.382,278.382,259.8115,22.9944,0.0053,0.0004,0.0007,0.0391,0.0069,-1
2017-01-20 22:00:00,163.21066666666667,-20.300057321192305,4.386828248685054,77.47835182340908,342.996,215.298,215.298,259.689,23.1519,0.0054,0.0004,0.0007,0.0398,0.0069,-1
2017-01-21 10:45:00,68.01266666666668,-20.08592570514902,4.192229929204603,76.88557737321072,275.736,154.662,126.924,256.9493,28.1142,0.0091,0.0004,0.0009,0.0641,0.0068,36
2017-01-21 11:00:00,237.73666666666668,-20.08592570514902,3.366284776949963,73.57892815082099,354.6,215.00400000000002,204.40800000000002,257.0481,27.9945,0.0092,0.0004,0.0009,0.0637,0.0068,0
2017-01-21 11:15:00,297.6846666666667,-20.08592570514902,2.8173959924070893,70.25285156292468,432.768,277.146,233.106,257.1469,27.8747,0.0092,0.0004,0.0009,0.0634,0.0067,43
2017-01-21 11:30:00,357.6573333333333,-20.08592570514902,2.427705652773726,66.90934507336716,509.89200000000005,340.05600000000004,275.874,257.2457,27.755,0.0092,0.0004,0.0009,0.0631,0.0067,11
2017-01-21 11:45:00,417.93,-20.08592570514902,2.1379351448576505,63.55021640992676,585.66,402.996,333.258,257.3445,27.6352,0.0093,0.0004,0.0009,0.0627,0.0067,6
2017-01-21 12:00:00,480.634,-20.08592570514902,1.915022538710323,60.17711346423926,659.736,465.39,390.456,257.4384,27.5156,0.0093,0.0004,0.0008,0.0624,0.0066,8
2017-01-21 12:15:00,545.8006666666666,-20.08592570514902,1.7390805583147377,56.79155175067001,731.802,526.8240000000001,508.812,257.3905,27.4008,0.0093,0.0003,0.0008,0.0618,0.0066,0
2017-01-21 12:30:00,603.0746666666668,-20.08592570514902,1.5974362126228845,53.394940546336606,801.558,586.794,531.9,257.3426,27.2861,0.0093,0.0003,0.0008,0.0613,0.0067,2
2017-01-21 12:45:00,660.7633333333334,-20.08592570514902,1.4816383834582636,49.988609057559906,868.6980000000001,644.928,628.35,257.2946,27.1713,0.0092,0.0003,0.0008,0.0607,0.0067,8
2017-01-21 13:00:00,715.3966666666668,-20.08592570514902,1.3858414235249739,46.57383439846177,932.934,700.878,700.878,257.2467,27.0566,0.0092,0.0003,0.0008,0.0601,0.0067,2
